Date,Hour,PV Generation (MW),Wind Generation (MW)
19-Jan,13,0.273,0.034
19-Jan,14,0.126,0.042
19-Jan,15,0.019,0.072
19-Jan,16,0.000,0.117
19-Jan,17,0.000,0.153
19-Jan,18,0.000,0.171
19-Jan,19,0.000,0.178
19-Jan,20,0.000,0.179
19-Jan,21,0.000,0.168
19-Jan,22,0.000,0.156
19-Jan,23,0.000,0.138
20-Jan,0,0.000,0.115
20-Jan,1,0.000,0.096
20-Jan,2,0.000,0.081
20-Jan,3,0.000,0.070
20-Jan,4,0.000,0.060
20-Jan,5,0.000,0.054
20-Jan,6,0.000,0.050
20-Jan,7,0.018,0.052
20-Jan,8,0.117,0.045
20-Jan,9,0.237,0.033
20-Jan,10,0.322,0.018
20-Jan,11,0.346,0.011
20-Jan,12,0.315,0.009
20-Jan,13,0.226,0.010
20-Jan,14,0.101,0.012
20-Jan,15,0.014,0.018
20-Jan,16,0.000,0.032
20-Jan,17,0.000,0.045
20-Jan,18,0.000,0.054
20-Jan,19,0.000,0.059
20-Jan,20,0.000,0.061
20-Jan,21,0.000,0.064
20-Jan,22,0.000,0.064
20-Jan,23,0.000,0.065
21-Jan,0,0.000,0.069
21-Jan,1,0.000,0.077
21-Jan,2,0.000,0.081
21-Jan,3,0.000,0.083
21-Jan,4,0.000,0.093
21-Jan,5,0.000,0.107
21-Jan,6,0.000,0.108
21-Jan,7,0.013,0.102
21-Jan,8,0.092,0.100
21-Jan,9,0.205,0.095
21-Jan,10,0.300,0.084
21-Jan,11,0.340,0.082
21-Jan,12,0.318,0.084
21-Jan,13,0.239,0.079
21-Jan,14,0.116,0.081
21-Jan,15,0.018,0.095
21-Jan,16,0.000,0.103
21-Jan,17,0.000,0.110
21-Jan,18,0.000,0.111
21-Jan,19,0.000,0.109
21-Jan,20,0.000,0.106
21-Jan,21,0.000,0.100
21-Jan,22,0.000,0.099
21-Jan,23,0.000,0.100
22-Jan,0,0.000,0.103
22-Jan,1,0.000,0.115
22-Jan,2,0.000,0.127
22-Jan,3,0.000,0.132
22-Jan,4,0.000,0.137
22-Jan,5,0.000,0.145
22-Jan,6,0.000,0.166
22-Jan,7,0.012,0.183
22-Jan,8,0.081,0.179
22-Jan,9,0.160,0.172
22-Jan,10,0.222,0.167
22-Jan,11,0.248,0.168
22-Jan,12,0.229,0.179
22-Jan,13,0.160,0.196
22-Jan,14,0.070,0.218
22-Jan,15,0.010,0.251
22-Jan,16,0.000,0.282
22-Jan,17,0.000,0.312
22-Jan,18,0.000,0.313
22-Jan,19,0.000,0.288
22-Jan,20,0.000,0.267
22-Jan,21,0.000,0.245
22-Jan,22,0.000,0.227
22-Jan,23,0.000,0.214
23-Jan,0,0.000,0.200
23-Jan,1,0.000,0.187
23-Jan,2,0.000,0.175
23-Jan,3,0.000,0.166
23-Jan,4,0.000,0.159
23-Jan,5,0.000,0.146
23-Jan,6,0.000,0.133
23-Jan,7,0.011,0.119
23-Jan,8,0.062,0.102
23-Jan,9,0.123,0.086
23-Jan,10,0.168,0.070
23-Jan,11,0.178,0.072
23-Jan,12,0.153,0.078
23-Jan,13,0.107,0.090
23-Jan,14,0.049,0.106
23-Jan,15,0.007,0.129
23-Jan,16,0.000,0.157
23-Jan,17,0.000,0.174
23-Jan,18,0.000,0.163
23-Jan,19,0.000,0.145
23-Jan,20,0.000,0.128
23-Jan,21,0.000,0.121
23-Jan,22,0.000,0.109
23-Jan,23,0.000,0.098
24-Jan,0,0.000,0.085
24-Jan,1,0.000,0.077
24-Jan,2,0.000,0.069
24-Jan,3,0.000,0.063
24-Jan,4,0.000,0.057
24-Jan,5,0.000,0.053
24-Jan,6,0.000,0.046
24-Jan,7,0.005,0.041
24-Jan,8,0.029,0.033
24-Jan,9,0.063,0.029
24-Jan,10,0.091,0.026
24-Jan,11,0.101,0.022
24-Jan,12,0.086,0.019
24-Jan,13,0.057,0.017
24-Jan,14,0.024,0.016
24-Jan,15,0.004,0.016
24-Jan,16,0.000,0.017
24-Jan,17,0.000,0.018
24-Jan,18,0.000,0.016
24-Jan,19,0.000,0.014
24-Jan,20,0.000,0.011
24-Jan,21,0.000,0.008
24-Jan,22,0.000,0.008
24-Jan,23,0.000,0.008
25-Jan,0,0.000,0.010
25-Jan,1,0.000,0.011
25-Jan,2,0.000,0.011
25-Jan,3,0.000,0.010
25-Jan,4,0.000,0.010
25-Jan,5,0.000,0.011
25-Jan,6,0.000,0.014
25-Jan,7,0.006,0.019
25-Jan,8,0.027,0.025
25-Jan,9,0.059,0.035
25-Jan,10,0.092,0.049
25-Jan,11,0.108,0.071
25-Jan,12,0.101,0.092
25-Jan,13,0.075,0.111
25-Jan,14,0.039,0.129
25-Jan,15,0.009,0.155
25-Jan,16,0.000,0.199
25-Jan,17,0.000,0.265
25-Jan,18,0.000,0.317
25-Jan,19,0.000,0.350
25-Jan,20,0.000,0.366
25-Jan,21,0.000,0.359
25-Jan,22,0.000,0.354
25-Jan,23,0.000,0.363
26-Jan,0,0.000,0.381
26-Jan,1,0.000,0.393
26-Jan,2,0.000,0.404
26-Jan,3,0.000,0.405
26-Jan,4,0.000,0.388
26-Jan,5,0.000,0.395
26-Jan,6,0.000,0.412
26-Jan,7,0.004,0.419
26-Jan,8,0.017,0.432
26-Jan,9,0.035,0.432
26-Jan,10,0.055,0.430
26-Jan,11,0.070,0.423
26-Jan,12,0.076,0.421
26-Jan,13,0.065,0.408
26-Jan,14,0.035,0.398
26-Jan,15,0.009,0.410
26-Jan,16,0.000,0.428
26-Jan,17,0.000,0.456
26-Jan,18,0.000,0.471
26-Jan,19,0.000,0.496
26-Jan,20,0.000,0.517
26-Jan,21,0.000,0.519
26-Jan,22,0.000,0.533
26-Jan,23,0.000,0.548
27-Jan,0,0.000,0.542
27-Jan,1,0.000,0.547
27-Jan,2,0.000,0.562
27-Jan,3,0.000,0.575
27-Jan,4,0.000,0.574
27-Jan,5,0.000,0.583
27-Jan,6,0.000,0.576
27-Jan,7,0.009,0.562
27-Jan,8,0.043,0.549
27-Jan,9,0.080,0.537
27-Jan,10,0.117,0.526
27-Jan,11,0.144,0.501
27-Jan,12,0.154,0.475
27-Jan,13,0.128,0.448
27-Jan,14,0.068,0.423
27-Jan,15,0.017,0.418
27-Jan,16,0.000,0.426
27-Jan,17,0.000,0.448
27-Jan,18,0.000,0.454
27-Jan,19,0.000,0.450
27-Jan,20,0.000,0.446
27-Jan,21,0.000,0.443
27-Jan,22,0.000,0.439
27-Jan,23,0.000,0.444
28-Jan,0,0.000,0.457
28-Jan,1,0.000,0.462
28-Jan,2,0.000,0.458
28-Jan,3,0.000,0.438
28-Jan,4,0.000,0.413
28-Jan,5,0.000,0.411
28-Jan,6,0.000,0.402
